No.,Original release date,Original ISBN,English release date,English ISBN
1,"January 24, 2020[35]",978-4-04-064329-8,"June 9, 2022 (Digital)July 19, 2022 (Physical)[36]",978-1-63858-182-6
2,"June 25, 2020[37]",978-4-04-064664-0,"July 21, 2022 (Digital)August 30, 2022 (Physical)[38]",978-1-63858-337-0
3,"October 24, 2020[39]",978-4-04-065942-8,"September 8, 2022 (Digital)November 22, 2022 (Physical)[40]",978-1-63858-642-5
4,"February 25, 2021[41]",978-4-04-680166-1,"December 29, 2022 (Digital)February 7, 2023 (Physical)[42]",978-1-63858-817-7
4.5,"June 25, 2021[43]",978-4-04-680516-4,"March 30, 2023 (Digital)May 9, 2023 (Physical)[44]",978-1-68579-639-6
5,"October 25, 2021[45]",978-4-04-680846-2,"May 18, 2023 (Digital)July 11, 2023 (Physical)[46]",978-1-68579-653-2
6,"February 25, 2022[47]",978-4-04-681185-1,"June 15, 2023 (Digital) October 3, 2023 (Physical)[48]",978-1-63858-816-0
7,"June 24, 2022[49]",978-4-04-681477-7,"September 14, 2023 (Digital) December 5, 2023 (Physical)[50]",978-1-68579-947-2
8,"October 25, 2022[51]",978-4-04-681833-1,"April 16, 2024 (Physical)[52]",979-8-88843-430-7
9,"February 25, 2023[53]",978-4-04-682213-0,—,—
9.5,"June 23, 2023[54]",978-4-04-682566-7,—,—
