No.,Original release date,Original ISBN,English release date,English ISBN
1,"November 22, 2017[78]",978-4-04-069642-3,"July 4, 2023[79]",978-1-63858-850-4
2,"June 23, 2018[80]",978-4-04-069825-0,"October 10, 2023[81]",978-1-68579-934-2
